id,name,sex,agency,role,year
lebe,Leonie Benesch,1,NA,1,2023
zare,Zar Amir Ebrahimi,1,NA,1,2023
sahu,Sandra Hüller,1,NA,1,2023
feka,Felix Kammerer,2,NA,1,2023
meba,Mehdi Bajestani,2,NA,1,2023
joet,Jördis Triebel,1,NA,2,2023
ulkr,Ulrike Kriener,1,NA,2,2023
hids,Hildegard Schmahl,1,NA,2,2023
albs,Albrecht Schuch,2,NA,2,2023
cles,Clemens Schick,2,NA,2,2023
kama,Karl Markovics,2,NA,2,2023
maeg,Maren Eggert,1,NA,1,2021
saro,Saskia Rosendahl,1,NA,1,2021
luwe,Luna Wedler,1,NA,1,2021
olma,Oliver Masucci,2,NA,1,2021
dast,Dan Stevens,2,NA,1,2021
jani,Jannis Niewöhner,2,NA,1,2021
lois,Lorna Ishema,1,NA,2,2021
mebe,Meret Becker,1,NA,2,2021
bimi,Birgit Minichmayr,1,NA,2,2021
thme,Thorsten Merten,2,NA,2,2021
hapr,Hary Prinz,2,NA,2,2021
mipe,Milan Peschel,2,NA,2,2021
yumi,YUMI Management,NA,NA,NA,NA
schneider,Agentur Schneider,NA,NA,NA,NA
players,Agentur Players ,NA,NA,NA,NA
imperium,Das Imperium,NA,NA,NA,NA
carola,Agentur Carola Studlar,NA,NA,NA,NA
divina,Divina,NA,NA,NA,NA
lambsdorff,Agentur Lambsdorff,NA,NA,NA,NA
britta,Agentur Britta Imdahl,NA,NA,NA,NA
agenten,die agenten,NA,NA,NA,NA
stibitz,Daniela Stibitz Management,NA,NA,NA,NA
schlag,Agentur SCHLAG,NA,NA,NA,NA
fbe,Felix Block Erben Agentur,NA,NA,NA,NA
